<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,100150,163.420000000,20
SBER,0,20170721,100151,163.420000000,20
SBER,0,20170721,100151,163.420000000,30
SBER,0,20170721,100151,163.420000000,30
SBER,0,20170721,100151,163.420000000,20
SBER,0,20170721,100151,163.410000000,30
SBER,0,20170721,100151,163.410000000,20
SBER,0,20170721,100152,163.410000000,20
SBER,0,20170721,100152,163.410000000,20
SBER,0,20170721,100152,163.410000000,20
SBER,0,20170721,100152,163.410000000,20
SBER,0,20170721,100153,163.480000000,10
SBER,0,20170721,100153,163.480000000,90
SBER,0,20170721,100153,163.410000000,20
SBER,0,20170721,100153,163.410000000,20
SBER,0,20170721,100154,163.480000000,50
SBER,0,20170721,100154,163.480000000,70
SBER,0,20170721,100154,163.490000000,880
SBER,0,20170721,100154,163.410000000,20
SBER,0,20170721,100156,163.410000000,80
SBER,0,20170721,100156,163.410000000,200
SBER,0,20170721,100156,163.410000000,970
SBER,0,20170721,100156,163.410000000,500
SBER,0,20170721,100156,163.410000000,500
SBER,0,20170721,100156,163.410000000,90
SBER,0,20170721,100156,163.400000000,910
SBER,0,20170721,100156,163.400000000,9750
SBER,0,20170721,100156,163.470000000,550
SBER,0,20170721,100156,163.470000000,200
SBER,0,20170721,100156,163.480000000,1160
SBER,0,20170721,100156,163.480000000,1840
SBER,0,20170721,100156,163.480000000,1000
SBER,0,20170721,100156,163.410000000,10
SBER,0,20170721,100156,163.400000000,250
SBER,0,20170721,100156,163.390000000,40
SBER,0,20170721,100156,163.470000000,280
SBER,0,20170721,100157,163.390000000,20
SBER,0,20170721,100157,163.400000000,1500
SBER,0,20170721,100158,163.400000000,50
SBER,0,20170721,100158,163.400000000,30
SBER,0,20170721,100158,163.380000000,100
SBER,0,20170721,100158,163.370000000,1000
SBER,0,20170721,100158,163.360000000,3000
SBER,0,20170721,100158,163.340000000,820
SBER,0,20170721,100159,163.350000000,60
SBER,0,20170721,100159,163.350000000,650
SBER,0,20170721,100202,163.390000000,30
SBER,0,20170721,100202,163.400000000,300
SBER,0,20170721,100202,163.410000000,1670
SBER,0,20170721,100202,163.410000000,10
SBER,0,20170721,100203,163.340000000,10
SBER,0,20170721,100204,163.400000000,10
SBER,0,20170721,100205,163.400000000,380
SBER,0,20170721,100205,163.400000000,120
SBER,0,20170721,100205,163.400000000,10
SBER,0,20170721,100205,163.340000000,10
SBER,0,20170721,100208,163.350000000,10
SBER,0,20170721,100209,163.350000000,500
SBER,0,20170721,100211,163.350000000,60
SBER,0,20170721,100211,163.400000000,10
SBER,0,20170721,100214,163.350000000,440
SBER,0,20170721,100214,163.350000000,970
SBER,0,20170721,100214,163.350000000,140
SBER,0,20170721,100214,163.350000000,1000
SBER,0,20170721,100214,163.340000000,50
SBER,0,20170721,100214,163.340000000,10
SBER,0,20170721,100214,163.340000000,10
SBER,0,20170721,100214,163.320000000,280
SBER,0,20170721,100214,163.310000000,10
SBER,0,20170721,100214,163.310000000,10
SBER,0,20170721,100214,163.310000000,180
SBER,0,20170721,100214,163.300000000,1900
SBER,0,20170721,100214,163.300000000,10
SBER,0,20170721,100214,163.280000000,20
SBER,0,20170721,100214,163.280000000,100
SBER,0,20170721,100214,163.280000000,50
SBER,0,20170721,100214,163.270000000,70
SBER,0,20170721,100214,163.260000000,30
SBER,0,20170721,100214,163.260000000,500
SBER,0,20170721,100214,163.250000000,250
SBER,0,20170721,100214,163.250000000,2620
SBER,0,20170721,100214,163.250000000,1310
SBER,0,20170721,100214,163.250000000,170
SBER,0,20170721,100214,163.250000000,650
SBER,0,20170721,100214,163.250000000,750
SBER,0,20170721,100214,163.250000000,100
SBER,0,20170721,100214,163.240000000,1300
SBER,0,20170721,100214,163.240000000,10
SBER,0,20170721,100214,163.230000000,50
SBER,0,20170721,100214,163.220000000,10
SBER,0,20170721,100214,163.220000000,740
SBER,0,20170721,100214,163.220000000,10
SBER,0,20170721,100214,163.210000000,20
SBER,0,20170721,100214,163.210000000,20
SBER,0,20170721,100214,163.210000000,10
SBER,0,20170721,100214,163.210000000,30
SBER,0,20170721,100214,163.200000000,300
SBER,0,20170721,100214,163.200000000,50
SBER,0,20170721,100214,163.200000000,10
SBER,0,20170721,100214,163.200000000,300
SBER,0,20170721,100214,163.200000000,850
SBER,0,20170721,100214,163.190000000,250
SBER,0,20170721,100214,163.190000000,500
SBER,0,20170721,100214,163.190000000,180
SBER,0,20170721,100214,163.190000000,1000
SBER,0,20170721,100214,163.180000000,50
SBER,0,20170721,100214,163.170000000,50
SBER,0,20170721,100214,163.160000000,10
SBER,0,20170721,100214,163.160000000,1850
SBER,0,20170721,100214,163.150000000,1000
SBER,0,20170721,100214,163.150000000,20
SBER,0,20170721,100214,163.150000000,10
SBER,0,20170721,100214,163.140000000,3050
SBER,0,20170721,100214,163.130000000,2400
SBER,0,20170721,100214,163.130000000,50
SBER,0,20170721,100214,163.130000000,300
SBER,0,20170721,100214,163.130000000,4990
SBER,0,20170721,100214,163.130000000,2080
SBER,0,20170721,100214,163.120000000,1360
SBER,0,20170721,100214,163.260000000,10
SBER,0,20170721,100214,163.130000000,1000
SBER,0,20170721,100214,163.120000000,1640
SBER,0,20170721,100214,163.120000000,7360
SBER,0,20170721,100214,163.120000000,60
SBER,0,20170721,100214,163.140000000,10
SBER,0,20170721,100215,163.230000000,280
