TRADEDATE,BOARDID,SECID,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
2012-09-20,RTSI,RTSI,Индекс РТС,Индекс РТС,1515.88,1517.84,1522.14,1479.32,1485095601.8314,,,2,169621966779.975,USD,999999.999999
2012-09-21,RTSI,RTSI,Индекс РТС,Индекс РТС,1522.63,1516.59,1535.77,1513.12,1300346041.3976,,,2,170376871964.323,USD,999999.999999
2012-09-24,RTSI,RTSI,Индекс РТС,Индекс РТС,1509.58,1522.63,1524.07,1492.51,809311933.9462,,,2,168916594829.567,USD,999999.999999
2012-09-25,RTSI,RTSI,Индекс РТС,Индекс РТС,1510.96,1509.58,1522.43,1504.54,914065908.8342,,,2,169071813899.958,USD,999999.999999
2012-09-26,RTSI,RTSI,Индекс РТС,Индекс РТС,1456.99,1510.96,1513.85,1455.02,1237408348.3602,,,2,163032773400.34,USD,999999.999999
2012-09-27,RTSI,RTSI,Индекс РТС,Индекс РТС,1474.76,1459.15,1479.33,1455.17,1059364032.0091,,,2,165021316320.061,USD,999999.999999
2012-09-28,RTSI,RTSI,Индекс РТС,Индекс РТС,1475.7,1474.76,1500.3,1466.5,1061093131.7836,,,2,165125796582.05,USD,999999.999999
2012-10-01,RTSI,RTSI,Индекс РТС,Индекс РТС,1513.81,1475.7,1515.19,1467.34,1009478415.3122,,,2,169390378725.68,USD,999999.999999
2012-10-02,RTSI,RTSI,Индекс РТС,Индекс РТС,1507.77,1513.81,1517.29,1496.63,944378201.9330001,,,2,168714078196.50302,USD,999999.999999
2012-10-03,RTSI,RTSI,Индекс РТС,Индекс РТС,1492.3,1507.35,1508.16,1487.56,950239276.3494,,,2,166982954889.516,USD,999999.999999
2012-10-04,RTSI,RTSI,Индекс РТС,Индекс РТС,1483.03,1492.3,1499.24,1472.63,1016939498.7491,,,2,165945900847.78198,USD,999999.999999
2012-10-05,RTSI,RTSI,Индекс РТС,Индекс РТС,1508.72,1483.03,1521.49,1480.6,1092286495.1757,,,2,168820443574.93698,USD,999999.999999
2012-10-08,RTSI,RTSI,Индекс РТС,Индекс РТС,1492.51,1508.72,1509.52,1481.99,738840278.9615,,,2,167007008883.239,USD,999999.999999
2012-10-09,RTSI,RTSI,Индекс РТС,Индекс РТС,1494.16,1492.51,1504.47,1490.33,820058949.0566,,,2,167191996372.69,USD,999999.999999
2012-10-10,RTSI,RTSI,Индекс РТС,Индекс РТС,1483.84,1493.87,1493.87,1480.65,800387540.5748,,,2,166036690879.93802,USD,999999.999999
2012-10-11,RTSI,RTSI,Индекс РТС,Индекс РТС,1490.41,1483.84,1495.73,1471.91,771366803.6889999,,,2,166772446396.714,USD,999999.999999
2012-10-12,RTSI,RTSI,Индекс РТС,Индекс РТС,1472.36,1490.41,1491.16,1467.1,844054129.8287,,,2,164751842707.845,USD,999999.999999
2012-10-15,RTSI,RTSI,Индекс РТС,Индекс РТС,1466.82,1472.36,1484.22,1464.76,669202442.24,,,2,164132648230.201,USD,999999.999999
2012-10-16,RTSI,RTSI,Индекс РТС,Индекс РТС,1488.18,1466.82,1488.73,1466.82,843068754.038,,,2,166522474515.411,USD,999999.999999
2012-10-17,RTSI,RTSI,Индекс РТС,Индекс РТС,1513.96,1488.65,1520.63,1488.25,1161981785.0936,,,2,169406851973.023,USD,999999.999999
2012-10-18,RTSI,RTSI,Индекс РТС,Индекс РТС,1512.01,1513.96,1527.77,1503.76,1116122531.6719,,,2,169188925737.888,USD,999999.999999
2012-10-19,RTSI,RTSI,Индекс РТС,Индекс РТС,1494.44,1512.5,1516.96,1493.53,793493426.7892,,,2,167223107243.573,USD,999999.999999
2012-10-22,RTSI,RTSI,Индекс РТС,Индекс РТС,1497.63,1494.36,1503.27,1484.1,895199644.2649,,,2,167579545134.05402,USD,999999.999999
2012-10-23,RTSI,RTSI,Индекс РТС,Индекс РТС,1456.73,1499.63,1499.63,1454.3,1230658625.829,,,2,163002979998.163,USD,999999.999999
2012-10-24,RTSI,RTSI,Индекс РТС,Индекс РТС,1462.43,1457.07,1471.99,1444.38,1294556734.3084,,,2,163640900658.035,USD,999999.999999
2012-10-25,RTSI,RTSI,Индекс РТС,Индекс РТС,1456.91,1462.43,1474.23,1456.22,858730093.5669,,,2,163023539601.491,USD,999999.999999
2012-10-26,RTSI,RTSI,Индекс РТС,Индекс РТС,1441.38,1456.85,1457.53,1426.27,957810143.5545,,,2,161285937165.68802,USD,999999.999999
2012-10-29,RTSI,RTSI,Индекс РТС,Индекс РТС,1435.05,1441.38,1442.76,1426.26,564326411.0971,,,2,160577378598.347,USD,999999.999999
2012-10-30,RTSI,RTSI,Индекс РТС,Индекс РТС,1430.1,1435.05,1443.4,1426.47,871085540.4911,,,2,160023141643.37198,USD,999999.999999
2012-10-31,RTSI,RTSI,Индекс РТС,Индекс РТС,1433.96,1429.95,1448.33,1428.48,894882376.2982,,,2,160455536880.822,USD,999999.999999
2012-11-01,RTSI,RTSI,Индекс РТС,Индекс РТС,1443.5,1433.96,1443.89,1415.38,1126910080.4323,,,2,161522925158.487,USD,999999.999999
2012-11-02,RTSI,RTSI,Индекс РТС,Индекс РТС,1444.19,1443.5,1454.58,1435.85,1019339655.4252,,,2,161599564710.558,USD,999999.999999
2012-11-06,RTSI,RTSI,Индекс РТС,Индекс РТС,1448.98,1444.19,1452.78,1436.1,792804329.8321,,,2,162136038023.839,USD,999999.999999
2012-11-07,RTSI,RTSI,Индекс РТС,Индекс РТС,1426.94,1448.98,1464.82,1425.73,931990009.3897,,,2,159669968667.604,USD,999999.999999
2012-11-08,RTSI,RTSI,Индекс РТС,Индекс РТС,1410.27,1426.94,1428.33,1396.11,1203473921.7759,,,2,157804751356.513,USD,999999.999999
